iter	Accuracy	Logloss
262	0.9583474106	0.09976440166
263	0.958371543	0.09975678968
264	0.9584560066	0.09972233113
265	0.9585042714	0.09970385144
266	0.9584922052	0.09968797853
267	0.9585404701	0.09963467934
268	0.9585646025	0.09960928944
269	0.9585646025	0.09960928281
270	0.958588735	0.09960382182
271	0.9586128674	0.09958704824
272	0.9585525363	0.09952088248
273	0.9585646025	0.09949678817
274	0.958588735	0.09940239356
275	0.9586490661	0.09934065513
276	0.9586008012	0.09928455761
277	0.9586128674	0.09917572619
278	0.9586008012	0.0991243246
279	0.958588735	0.09908358937
280	0.9586008012	0.09902971548
281	0.9585404701	0.09899529864
282	0.9586611323	0.09896168071
283	0.9587093972	0.09892552867
284	0.9586852647	0.09886650686
285	0.9587817945	0.09879339979
286	0.9588541918	0.09875387232
287	0.9588541918	0.09870080312
288	0.9589024567	0.09863771269
289	0.9589507216	0.09862386471
290	0.9588903905	0.09861386577
291	0.9588903905	0.09856793642
292	0.9589145229	0.09854348948
293	0.9589265891	0.09850909502
294	0.9589869202	0.09843779084
295	0.9589386553	0.09841183736
296	0.9589989864	0.09839010628
297	0.958974854	0.09836177643
298	0.958974854	0.09835825847
299	0.958974854	0.09832441563
300	0.9589869202	0.09829168864
301	0.9590351851	0.09825684441
302	0.95908345	0.09822598624
303	0.95908345	0.09822594977
304	0.95908345	0.09822585673
305	0.95908345	0.0982228108
306	0.9591317149	0.09817204252
307	0.9591317149	0.09817199903
308	0.9591317149	0.09815503663
309	0.9591317149	0.09813661397
310	0.9591799797	0.09810873284
311	0.9592041122	0.09808996786
312	0.9592403108	0.09806156233
313	0.9593368406	0.098018862
314	0.9593127081	0.09798932158
315	0.9593730392	0.09789929871
316	0.9593368406	0.09786893551
317	0.9593127081	0.09785300644
318	0.9593127081	0.09783964186
319	0.9592765095	0.09779997574
320	0.9592644433	0.097777478
321	0.9592885757	0.09773495075
322	0.9593368406	0.09769583517
323	0.9592885757	0.09767970845
324	0.9593247744	0.09763302572
325	0.9592765095	0.09752610268
326	0.9593489068	0.09746211588
327	0.9593489068	0.09743668717
328	0.9593368406	0.09741507665
329	0.9593489068	0.09739751562
330	0.959360973	0.09732222571
331	0.9593006419	0.09730263798
332	0.9593247744	0.09729030914
333	0.9593368406	0.09725183092
334	0.9593247744	0.09721748149
335	0.9594092379	0.09714675124
336	0.9594213041	0.09711152189
337	0.9593971717	0.09708818677
338	0.9594816352	0.09704815084
339	0.9594816352	0.09699214863
340	0.9595178339	0.09695308087
341	0.9596022974	0.09694294991
342	0.9596264298	0.09687975102
343	0.9596746947	0.09685247698
344	0.9596143636	0.0967640485
345	0.9596143636	0.09671152819
346	0.9596626285	0.09668648093
347	0.9596626285	0.09664999944
348	0.9597229596	0.09661215909
349	0.9597229596	0.09658567316
350	0.9597229596	0.09657197723
351	0.959747092	0.09653213703
352	0.9597350258	0.09652196768
353	0.9599280853	0.09650692451
354	0.9599522178	0.09647639796
355	0.9600366813	0.0964266886
356	0.9600004826	0.09639945276
357	0.96007288	0.09631141868
358	0.9601090786	0.09614892151
359	0.9601332111	0.09610635462
360	0.9600487475	0.09607520497
361	0.9600487475	0.09601992608
362	0.9600849462	0.09598432386
363	0.96007288	0.09595115715
364	0.9600849462	0.09592226227
365	0.9601211448	0.09589563238
366	0.9600849462	0.09586775514
367	0.9600366813	0.09580734803
368	0.9600608137	0.09579475877
369	0.9600608137	0.09576859108
370	0.96007288	0.09574735575
371	0.9600487475	0.0957292193
372	0.96007288	0.09568070347
373	0.9601090786	0.09566849688
374	0.9600849462	0.09565160535
375	0.9600849462	0.09562654844
376	0.9601332111	0.09559878782
377	0.9601452773	0.09553389503
378	0.9601694097	0.09550355938
379	0.9601935422	0.09548625034
380	0.9601573435	0.09547015009
381	0.9600849462	0.09544537684
382	0.9601814759	0.0954199939
383	0.9602780057	0.09538729143
384	0.9602900719	0.09537401458
385	0.9603142044	0.09537018358
386	0.9602900719	0.09534756197
387	0.960241807	0.09532229401
388	0.9602538733	0.09529404132
389	0.9602659395	0.09524701713
390	0.9603262706	0.09521350718
391	0.9602900719	0.0951890685
392	0.9603262706	0.09516757127
393	0.9603142044	0.09512346491
394	0.9603262706	0.09510201502
395	0.9602659395	0.09507796798
396	0.9603021381	0.09498047243
397	0.9603866017	0.09494456494
398	0.9603745355	0.09491958284
399	0.9603986679	0.09491233576
400	0.9603262706	0.09483728464
401	0.9603624692	0.09480978827
402	0.9603986679	0.09478178301
403	0.9605193301	0.09473814887
404	0.9605555287	0.09470354431
405	0.9605434625	0.09454015571
406	0.9605434625	0.09451022764
407	0.9605555287	0.0944835239
408	0.960458999	0.09443082325
409	0.9605072639	0.09440162165
410	0.9605193301	0.09437584485
411	0.9604710652	0.09429921514
412	0.9604469328	0.0942816531
413	0.9604951976	0.09425847351
414	0.9605193301	0.09423549981
415	0.9605313963	0.09420702555
416	0.9605796612	0.09416208863
417	0.9605434625	0.09414041441
418	0.9605434625	0.09414036762
419	0.9606158598	0.09411693002
420	0.9606158598	0.09411693002
421	0.9606158598	0.09410102601
422	0.9606520585	0.09408296482
423	0.9606279261	0.09407847637
424	0.9606037936	0.09407077532
425	0.9606279261	0.09405245556
426	0.9606520585	0.09403690414
427	0.9607244558	0.0940163144
428	0.960736522	0.09400899318
429	0.9607244558	0.09398913232
430	0.9607485883	0.09397913864
431	0.9607847869	0.09393433139
432	0.9607003234	0.09386070553
433	0.9607244558	0.09382275715
434	0.9607244558	0.09382274809
435	0.9607485883	0.09381934684
436	0.9606761909	0.09378533211
437	0.9607727207	0.09374457151
438	0.9608692504	0.09370267955
439	0.9609054491	0.09362208623
440	0.9609054491	0.09358875847
441	0.9609175153	0.09356911798
442	0.9609416478	0.09350342851
443	0.9609657802	0.09347497154
444	0.9611347073	0.09345326535
445	0.961231237	0.09341065112
446	0.9612191708	0.09337382592
447	0.9612433032	0.09337001501
448	0.9610985086	0.09332274259
449	0.9610985086	0.09328926587
450	0.9611829722	0.09327724572
451	0.9612553695	0.09323380992
452	0.9612553695	0.09323380783
453	0.9612674357	0.09320644506
454	0.9612433032	0.09318385839
455	0.9612553695	0.09316933368
456	0.9612433032	0.09315485371
457	0.9613036343	0.09313516926
458	0.9613036343	0.09313515921
459	0.9613036343	0.09313515393
460	0.9613036343	0.09312572733
461	0.9612915681	0.09304751201
462	0.9612674357	0.09303536738
463	0.9612674357	0.09300901876
464	0.961231237	0.09299230201
465	0.9612795019	0.09296804752
466	0.9612674357	0.09294958165
467	0.9612674357	0.09294956361
468	0.9613277668	0.0929433983
469	0.9613277668	0.09294088192
470	0.9612553695	0.09292087075
471	0.9613036343	0.09286902798
472	0.961339833	0.09284969946
473	0.9613518992	0.09282227066
474	0.9613157006	0.09280691974
475	0.9613157006	0.09276519442
476	0.9613036343	0.09272736714
477	0.9613157006	0.09270711071
478	0.961339833	0.09264811192
479	0.9614001641	0.09262292057
480	0.9614001641	0.09260723523
481	0.9614242965	0.09253887871
482	0.9613880979	0.09251629478
483	0.9614122303	0.09251007261
484	0.9614846276	0.0924948335
485	0.9615328925	0.09246302083
486	0.9614846276	0.09243823543
487	0.9615087601	0.09241770549
488	0.9615087601	0.09241026787
489	0.961557025	0.09239153271
490	0.961557025	0.09237401541
491	0.9615449587	0.09235282157
492	0.9615328925	0.09234253331
493	0.9615328925	0.0923302037
494	0.9615328925	0.0923205816
495	0.9615328925	0.09230334442
496	0.9615208263	0.0922646181
497	0.9615328925	0.09223829886
498	0.9615932236	0.0922085833
499	0.9615932236	0.09216409148
500	0.9615449587	0.09213299151
501	0.9615811574	0.09211996046
502	0.9616173561	0.092108186
503	0.9616656209	0.09205295466
504	0.9616656209	0.09202521103
505	0.9616656209	0.09201785552
506	0.9616052898	0.09198390352
507	0.961557025	0.09195658876
508	0.9616173561	0.09193852846
509	0.9616052898	0.0919252629
510	0.9616414885	0.09188004706
511	0.9616535547	0.09187614779
512	0.9616535547	0.09185846183
513	0.9616173561	0.09184472397
514	0.9616656209	0.09182474644
